Ticker,Alert_Type,Severity,Title,Message,Triggered_At,Is_Read
BMW.DE,new_opportunity,media,Nueva oportunidad detectada en BMW.DE,BMW.DE aparece por primera vez con score 77.7 y clasificación seguimiento.,2026-08-27T19:13:09.568200+02:00,False
DTE.DE,new_opportunity,media,Nueva oportunidad detectada en DTE.DE,DTE.DE aparece por primera vez con score 64.4 y clasificación seguimiento.,2026-08-27T19:13:12.512307+02:00,False
EOAN.DE,new_opportunity,media,Nueva oportunidad detectada en EOAN.DE,EOAN.DE aparece por primera vez con score 64.1 y clasificación seguimiento.,2026-08-27T19:13:13.161010+02:00,False
VOW3.DE,new_opportunity,media,Nueva oportunidad detectada en VOW3.DE,VOW3.DE aparece por primera vez con score 66.5 y clasificación seguimiento.,2026-08-27T19:13:15.596135+02:00,False
ADS.DE,new_opportunity,media,Nueva oportunidad detectada en ADS.DE,ADS.DE aparece por primera vez con score 71.2 y clasificación seguimiento.,2026-08-27T19:13:18.199432+02:00,False
HEI.DE,new_opportunity,media,Nueva oportunidad detectada en HEI.DE,HEI.DE aparece por primera vez con score 75.0 y clasificación seguimiento.,2026-08-27T19:13:21.207757+02:00,False
BEI.DE,new_opportunity,media,Nueva oportunidad detectada en BEI.DE,BEI.DE aparece por primera vez con score 69.0 y clasificación seguimiento.,2026-08-27T19:13:21.216108+02:00,False
BN.PA,new_opportunity,media,Nueva oportunidad detectada en BN.PA,BN.PA aparece por primera vez con score 65.5 y clasificación seguimiento.,2026-08-27T19:13:23.987078+02:00,False
CAP.PA,new_opportunity,media,Nueva oportunidad detectada en CAP.PA,CAP.PA aparece por primera vez con score 82.2 y clasificación seguimiento.,2026-08-27T19:13:26.612535+02:00,False
DG.PA,new_opportunity,media,Nueva oportunidad detectada en DG.PA,DG.PA aparece por primera vez con score 72.2 y clasificación seguimiento.,2026-08-27T19:13:28.667724+02:00,False
EL.PA,new_opportunity,media,Nueva oportunidad detectada en EL.PA,EL.PA aparece por primera vez con score 70.1 y clasificación seguimiento.,2026-08-27T19:13:29.352711+02:00,False
EN.PA,new_opportunity,media,Nueva oportunidad detectada en EN.PA,EN.PA aparece por primera vez con score 75.0 y clasificación entrada_directa.,2026-08-27T19:13:29.640000+02:00,False
MC.PA,new_opportunity,media,Nueva oportunidad detectada en MC.PA,MC.PA aparece por primera vez con score 69.1 y clasificación seguimiento.,2026-08-27T19:13:32.397564+02:00,False
