Rank,Ticker,Nombre,Mercado,Sector,Industria,País,Moneda,Precio,Rules_Version,Model_Version,Config_Version,Evaluation_Timestamp,Score_Total,Score_Cuantitativo,Score_Fundamental,Score_Valoracion,Score_Causal,Score_Recuperacion,Score_Tecnico,Clasificacion,Clasificacion_Base,hard_rules_applied,Capa1_Pasa,Capa1_Status,Capa2_Causal_Classification,Capa2_Causal_Confidence,Capa2_Problem_Type,Capa2_Justification,Capa3_Recovery_Status,Capa3_Recovery_Signals,Capa4_Status,Capa5_Final_Classification,Capa5_Entry_Zone_Min,Capa5_Entry_Zone_Max,Capa5_Entry_Zone,Capa5_Exit_Zone_Min,Capa5_Exit_Zone_Max,Capa5_Exit_Zone,Capa5_Invalidation_Conditions,Capa5_Estimated_Horizon_Months,Capa5_Short_Explanation,Capa5_Summary_Explanation,Señales,Div_Yield_Actual_%,Historial_Div_Años_10,Consec_Antes_Corte,Recorte_Reciente,Payout_%,D/E,Vol_Medio_Diario,Net_Debt,Net_Debt_EBITDA,Variacion_Deuda_Trimestral_%,Tipo_Margen,Margen_Actual_%,Margen_Medio_4T_%,Variacion_Margen_pp,ROE_%,Cap_Millones,PER,P/B,EV_EBITDA,Caida_52s_%,Caida_Max_Multianual_%,Dist_SMA200_%,RSI_14,MACD_Cruce,MACD_Convergiendo,MACD_Semanal,MACD_Semanal_Giro,Estocastico_K,Estocastico_D,Estocastico_Giro,MA40_Semanal,Dist_MA40_Semanal_%,Base_Pattern_Detected,Trendline_Break,Technical_Base_Score,Technical_Bonus_Points,Vol_Ratio,Soporte,SMA50_Girando
1,CPB,The Campbell's Company,SP500,Consumer Defensive,Packaged Foods,United States,USD,20.5,1.0,script-v2.0,1.0,2026-05-28T11:54:54.881046+02:00,88.7,88.3,84,92,0,1,90,seguimiento,seguimiento,Sin señales de recuperación,True,pass,pendiente,0,desconocido,Pendiente de implementar,ausente,dividend_maintained (baja): Dividendo actual 7.61% con caída del 41.4%,fuerte,seguimiento,20.03,20.5,20.03 - 20.50,26.67,29.75,26.67 - 29.75,Pérdida del soporte en 20.03 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,18-24,"The Campbell's Company está un 41.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 13.9%, deuda neta/EBITDA 3.9x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: seguimiento.","The Campbell's Company está un 41.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 13.9%, deuda neta/EBITDA 3.9x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: seguimiento.",🟢 Divergencia alcista RSI | 🟢 Cruce alcista MACD | 🟢 Cerca de soporte | 🟢 MACD semanal girando al alza | 🟢 base_pattern_detected,7.61,11,20,False,84.8,1.85,8940224.0,6852000192.0,3.92,6.3,gross,29.6,29.3,0.3,13.9,6112.0,11.1,1.53,7.42,41.4,57.8,-23.1,48.4,True,False,-2.2458,True,49.2,44.2,False,26.41,-22.4,True,False,68,22,1.06,20.03,False
2,CAP.PA,CAPGEMINI,EUROSTOXX,Technology,Information Technology Services,France,EUR,99.88,1.0,script-v2.0,1.0,2026-05-28T11:53:07.767236+02:00,87.7,91.2,88,94,0,4,77,seguimiento,seguimiento,Sin señales de recuperación,True,pass,pendiente,0,desconocido,Pendiente de implementar,ausente,"dividend_maintained (baja): Dividendo actual 3.40% con caída del 35.4% | analyst_upgrade (media): Target 148.99 vs precio 99.88 (+49%), recMean 1.72, recKey buy",fuerte,seguimiento,98.94,99.88,98.94 - 99.88,120.55,131.37,120.55 - 131.37,Pérdida del soporte en 98.94 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"CAPGEMINI está un 35.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 13.7%, deuda neta/EBITDA 2.3x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cerca de soporte. Clasificación: seguimiento.","CAPGEMINI está un 35.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 13.7%, deuda neta/EBITDA 2.3x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cerca de soporte. Clasificación: seguimiento.",🟢 Divergencia alcista RSI | 🟢 Cerca de soporte | 🟢 MACD semanal girando al alza | 🟢 base_pattern_detected,3.4,10,0,False,37.2,0.81,712896.0,6643999744.0,2.29,55.8,,27.0,,,13.7,16694.0,10.9,1.46,8.2,35.4,51.6,-17.1,44.5,False,False,-7.6467,True,35.5,50.5,False,120.24,-16.9,True,False,55,22,0.99,98.94,False
3,9022.T,CENTRAL JAPAN RAILWAY CO,ASIA,Industrials,Railroads,Japan,JPY,3471.0,1.0,script-v2.0,1.0,2026-05-28T11:55:35.232129+02:00,85.8,89.0,81,96,0,7,76,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 465.88 vs 390.66 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 0.92% con caída del 28.1% | analyst_upgrade (media): Target 4460.00 vs precio 3471.00 (+28%), recMean 2.42, recKey buy",fuerte,seguimiento,3297.45,3471.0,3297.45 - 3471.00,4105.5,4147.99,4105.50 - 4147.99,Pérdida del soporte en 3297.45 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"CENTRAL JAPAN RAILWAY CO está un 28.1% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 11.5%, deuda neta/EBITDA 4.3x. Técnicamente 🔵 RSI en sobreventa, 🟢 Cruce alcista MACD. Clasificación: seguimiento.","CENTRAL JAPAN RAILWAY CO está un 28.1% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 11.5%, deuda neta/EBITDA 4.3x. Técnicamente 🔵 RSI en sobreventa, 🟢 Cruce alcista MACD. Clasificación: seguimiento.",🔵 RSI en sobreventa | 🟢 Cruce alcista MACD | 🟢 base_pattern_detected,0.92,11,20,False,5.6,0.94,2796500.0,4437330165760.0,4.28,9.9,,52.2,,,11.5,3315691.0,6.1,0.65,7.58,28.1,27.9,-16.3,28.9,True,False,-143.9616,False,1.0,10.5,False,4160.89,-16.6,True,False,64,12,0.72,,False
4,GIS,"General Mills, Inc.",SP500,Consumer Defensive,Packaged Foods,United States,USD,33.65,1.0,script-v2.0,1.0,2026-05-28T11:54:53.400310+02:00,84.7,87.9,89,87,0,6,75,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,debt_reduction (alta): Deuda 0.0M vs 13734.8M | dividend_maintained (baja): Dividendo actual 7.25% con caída del 39.0%,fuerte,seguimiento,31.97,33.65,31.97 - 33.65,43.09,46.91,43.09 - 46.91,Pérdida del soporte en 31.97 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"General Mills, Inc. está un 39.0% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 23.6%, deuda neta/EBITDA -0.1x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.","General Mills, Inc. está un 39.0% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 23.6%, deuda neta/EBITDA -0.1x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.",🔵 RSI recuperándose de sobreventa | 🟢 Divergencia alcista RSI | 🟢 MACD semanal girando al alza | 🟢 base_pattern_detected,7.25,11,20,False,59.4,2.18,9438688.0,-399000000.0,-0.12,-100.0,gross,33.1,33.0,0.2,23.6,17958.0,8.2,3.25,6.23,39.0,51.8,-21.9,42.9,False,False,-3.3814,True,30.6,26.1,False,42.78,-21.3,True,False,53,22,0.88,,False
5,9021.T,WEST JAPAN RAILWAY CO,ASIA,Industrials,Railroads,Japan,JPY,2620.0,1.0,script-v2.0,1.0,2026-05-28T11:55:35.065302+02:00,84.3,91.1,81,100,0,7,64,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 277.73 vs 240.08 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 3.72% con caída del 26.8% | analyst_upgrade (media): Target 3181.82 vs precio 2620.00 (+21%), recMean 2.64, recKey hold",razonable,seguimiento,2489.0,2620.0,2489.00 - 2620.00,3040.45,3117.87,3040.45 - 3117.87,Pérdida del soporte en 2489.00 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"WEST JAPAN RAILWAY CO está un 26.8% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 10.2%, deuda neta/EBITDA 3.5x. Técnicamente 🔵 RSI en sobreventa, 🟢 Cruce alcista MACD. Clasificación: seguimiento.","WEST JAPAN RAILWAY CO está un 26.8% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 10.2%, deuda neta/EBITDA 3.5x. Técnicamente 🔵 RSI en sobreventa, 🟢 Cruce alcista MACD. Clasificación: seguimiento.",🔵 RSI en sobreventa | 🟢 Cruce alcista MACD,3.72,11,20,False,35.1,1.15,2369155.0,1308535029760.0,3.48,7.0,gross,25.0,25.6,-0.5,10.2,1192320.0,9.4,0.99,6.99,26.8,24.5,-16.0,23.6,True,True,-109.2296,False,12.1,6.4,False,3090.19,-15.2,False,False,64,0,0.91,,False
6,0700.HK,TENCENT,ASIA,Communication Services,Internet Content & Information,China,HKD,425.0,1.0,script-v2.0,1.0,2026-05-28T11:55:45.827805+02:00,84.2,89.9,99,82,0,7,67,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 6.30 vs 6.28 (Diluted EPS) | dividend_maintained (baja): Dividendo actual 1.25% con caída del 37.8% | analyst_upgrade (media): Target 709.31 vs precio 425.00 (+67%), recMean 1.35, recKey strong_buy",razonable,seguimiento,403.75,425.0,403.75 - 425.00,568.9,580.55,568.90 - 580.55,Pérdida del soporte en 403.75 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"TENCENT está un 37.8% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 20.5%, deuda neta/EBITDA -0.2x. Técnicamente 🔵 RSI en sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.","TENCENT está un 37.8% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 20.5%, deuda neta/EBITDA -0.2x. Técnicamente 🔵 RSI en sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.",🔵 RSI en sobreventa | 🟢 Divergencia alcista RSI | 🟢 base_pattern_detected,1.25,11,19,False,17.1,0.33,27809704.0,-54203973632.0,-0.19,,gross,56.4,56.9,-0.5,20.5,3837380.0,15.3,2.95,14.0,37.8,37.0,-25.3,30.5,False,False,-34.2341,False,8.6,10.1,False,563.07,-24.5,True,False,55,12,1.1,,False
7,RI.PA,PERNOD RICARD,EUROSTOXX,Consumer Defensive,Beverages - Wineries & Distilleries,France,EUR,65.16,1.0,script-v2.0,1.0,2026-05-28T11:53:15.900460+02:00,83.3,87.8,83,92,0,7,70,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 6.45 vs 5.83 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 7.21% con caída del 39.4% | analyst_upgrade (media): Target 87.03 vs precio 65.16 (+34%), recMean 2.32, recKey buy",fuerte,seguimiento,63.37,64.4,63.37 - 64.40,76.95,91.33,76.95 - 91.33,Pérdida del soporte en 63.37 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"PERNOD RICARD está un 39.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 8.6%, deuda neta/EBITDA 3.9x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cerca de soporte. Clasificación: seguimiento.","PERNOD RICARD está un 39.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 8.6%, deuda neta/EBITDA 3.9x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cerca de soporte. Clasificación: seguimiento.",🟢 Divergencia alcista RSI | 🟢 Cerca de soporte | 🟢 MACD semanal girando al alza | 🟢 base_pattern_detected,7.21,10,0,False,84.0,0.82,784768.0,11203999744.0,3.89,8.0,,58.4,,,8.6,16408.0,11.7,1.06,10.01,39.4,50.1,-15.3,53.6,False,False,-4.551,True,77.9,76.6,False,75.82,-14.1,True,False,48,22,0.79,63.37,False
8,IP,International Paper Company,SP500,Consumer Cyclical,Packaging & Containers,United States,USD,32.42,1.0,script-v2.0,1.0,2026-05-28T11:54:56.406107+02:00,82.5,81.3,69,92,0,12,86,entrada_directa,entrada_directa,,True,pass,pendiente,0,desconocido,Pendiente de implementar,confirmada,"eps_stabilization (media): EPS 0.11 vs -4.52 (Diluted EPS) | debt_reduction (alta): Deuda 9759.0M vs 10317.0M | dividend_maintained (baja): Dividendo actual 5.71% con caída del 42.2% | analyst_upgrade (media): Target 39.36 vs precio 32.42 (+21%), recKey none",fuerte,entrada_directa,31.66,32.42,31.66 - 32.42,39.81,47.71,39.81 - 47.71,Pérdida del soporte en 31.66 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,18-24,"International Paper Company está un 42.2% por debajo de su máximo 52s. Fundamentalmente sólida con ROE -16.0%, deuda neta/EBITDA 2.1x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: entrada_directa.","International Paper Company está un 42.2% por debajo de su máximo 52s. Fundamentalmente sólida con ROE -16.0%, deuda neta/EBITDA 2.1x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: entrada_directa.",🟢 Divergencia alcista RSI | 🟢 Cruce alcista MACD | 🟢 Cerca de soporte | 🟢 MACD semanal girando al alza | 🟢 base_pattern_detected,5.71,11,20,False,158.1,0.66,6866844.0,8522999552.0,2.13,-5.4,gross,29.7,29.8,-0.1,-16.0,17167.0,12.1,1.16,6.41,42.2,42.7,-18.6,51.2,True,False,-2.834,True,75.0,63.9,False,39.35,-17.6,True,False,64,22,0.73,31.66,False
9,TWE.AX,TREA WINE FPO [TWE],ASX,Consumer Defensive,Beverages - Wineries & Distilleries,Australia,AUD,4.26,1.0,script-v2.0,1.0,2026-05-28T11:55:20.891076+02:00,80.2,86.9,72,100,0,7,60,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 0.54 vs 0.13 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 9.39% con caída del 50.3% | analyst_upgrade (media): Target 5.45 vs precio 4.26 (+28%), recMean 2.43, recKey buy",razonable,seguimiento,4.1,4.12,4.10 - 4.12,5.48,7.28,5.48 - 7.28,Pérdida del soporte en 4.12 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,18-24,"TREA WINE FPO [TWE] está un 50.3% por debajo de su máximo 52s. Fundamentalmente sólida con ROE -9.9%, deuda neta/EBITDA 1.8x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.","TREA WINE FPO [TWE] está un 50.3% por debajo de su máximo 52s. Fundamentalmente sólida con ROE -9.9%, deuda neta/EBITDA 1.8x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.",🟢 Divergencia alcista RSI | 🟢 Bajo SMA200 con SMA50 girando | 🟢 Cerca de soporte | 🟢 base_pattern_detected,9.39,10,0,False,72.4,0.54,6089493.0,1862100064.0,1.81,,,46.1,,,-9.9,3440.0,12.5,0.89,-20.49,50.3,64.3,-22.3,47.7,False,False,-0.4593,False,31.7,47.8,False,5.37,-20.6,True,False,48,12,0.82,4.12,True
10,SGO.PA,SAINT GOBAIN,EUROSTOXX,Industrials,Building Products & Equipment,France,EUR,77.82,1.0,script-v2.0,1.0,2026-05-28T11:53:16.381916+02:00,79.2,75.9,93,61,0,12,89,entrada_directa,entrada_directa,,True,pass,pendiente,0,desconocido,Pendiente de implementar,confirmada,"eps_stabilization (media): EPS 5.78 vs 5.64 (annual_eps_fallback) | debt_reduction (alta): Deuda 18088.0M vs 18384.0M | dividend_maintained (baja): Dividendo actual 2.96% con caída del 25.6% | analyst_upgrade (media): Target 97.71 vs precio 77.82 (+26%), recMean 1.89, recKey buy",fuerte,entrada_directa,73.15,75.06,73.15 - 75.06,84.08,88.95,84.08 - 88.95,Pérdida del soporte en 73.15 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"SAINT GOBAIN está un 25.6% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 11.7%, deuda neta/EBITDA 1.6x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: entrada_directa.","SAINT GOBAIN está un 25.6% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 11.7%, deuda neta/EBITDA 1.6x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: entrada_directa.",🟢 Divergencia alcista RSI | 🟢 Cruce alcista MACD | 🟢 Bajo SMA200 con SMA50 girando | 🟢 MACD semanal girando al alza | 🟡 Apoyo en MA40 semanal | 🟢 base_pattern_detected,2.96,9,0,False,38.1,0.72,1440561.0,10505999360.0,1.55,-1.6,,27.8,,,11.7,37880.0,13.5,1.56,7.35,25.6,25.6,-7.4,54.2,True,False,-2.7386,True,79.8,68.5,False,83.34,-6.6,True,False,62,27,0.55,73.15,True
